,Date,Open,Close,High,Low,Volume
0,2010-03-01,29.3928,29.8557,29.9286,29.35,137312041
1,2010-03-02,29.99,29.8357,30.1186,29.6771,141486282
2,2010-03-03,29.8486,29.9043,29.9814,29.7057,92846488
3,2010-03-04,29.8971,30.1014,30.1314,29.8043,89591907
4,2010-03-05,30.7057,31.2786,31.3857,30.6614,224647427
5,2010-03-08,31.43,31.2971,31.4414,31.1786,107326832
6,2010-03-09,31.1871,31.86,32.1428,31.1271,229908139
7,2010-03-10,31.9757,32.12,32.2114,31.8857,148907755
8,2010-03-11,31.9871,32.2143,32.2143,31.9028,101209110
9,2010-03-12,32.4814,32.3714,32.5328,32.25,103841951
10,2010-03-15,32.1971,31.9771,32.2143,31.4643,123005437
11,2010-03-16,32.0257,32.0643,32.14,31.7871,111581993
12,2010-03-17,32.1286,32.0171,32.35,31.8957,112501374
13,2010-03-18,32.0143,32.0928,32.1428,31.8014,85156076
14,2010-03-19,32.1128,31.75,32.1771,31.6043,139669082
15,2010-03-22,31.4957,32.1071,32.2857,31.45,113828294
16,2010-03-23,32.2343,32.6228,32.6828,32.0143,150384825
17,2010-03-24,32.52,32.7671,32.8857,32.5014,149419805
18,2010-03-25,32.9886,32.3786,32.9957,32.3214,135463131
19,2010-03-26,32.7071,32.9857,33.1357,32.65,159986658
20,2010-03-29,33.2857,33.1986,33.41,33.0886,130887089
21,2010-03-30,33.8004,33.6921,33.9257,33.4643,131326339
22,2010-03-31,33.6414,33.5714,33.8014,33.4943,107438412
23,2010-04-01,33.9271,33.71,34.1043,33.25,150568295
24,2010-04-05,33.5678,34.07,34.0728,33.5386,170363601
25,2010-04-06,34.0286,34.22,34.32,33.8571,111431983
26,2010-04-07,34.2457,34.3714,34.56,34.0943,156909177
27,2010-04-08,34.3486,34.2786,34.5057,34.0057,142899723
28,2010-04-09,34.49,34.5414,34.5557,34.3514,83443105
29,2010-04-12,34.6,34.6128,34.7243,34.5443,83236885
30,2010-04-13,34.5514,34.6328,34.6857,34.4443,76184103
31,2010-04-14,35.04,35.0986,35.1157,34.8671,100827750
32,2010-04-15,35.1114,35.56,35.5757,35.0728,93876048
33,2010-04-16,35.51,35.3428,35.8771,34.9357,187514026
34,2010-04-19,35.29,35.2957,35.4128,34.5386,141571402
35,2010-04-20,35.5057,34.9414,35.6071,34.7078,177792843
36,2010-04-21,36.9721,37.0314,37.1786,36.5328,245072944
37,2010-04-22,36.8914,38.0671,38.1071,36.6,197849809
38,2010-04-23,38.2843,38.69,38.8828,38.1428,198906390
39,2010-04-26,38.84,38.5,38.9228,38.3128,119378876
40,2010-04-27,38.1814,37.4343,38.2628,37.2171,176955713
41,2010-04-28,37.6071,37.3714,37.7143,36.63,189375537
42,2010-04-29,37.5743,38.3771,38.5714,37.43,139522502
43,2010-04-30,38.4728,37.2986,38.6528,37.2857,135421971
44,2010-05-03,37.6914,38.05,38.2686,37.5543,113343684
45,2010-05-04,37.5557,36.9543,37.6128,36.6786,180620564
46,2010-05-05,36.1471,36.5693,36.8771,35.5328,220353346
47,2010-05-06,36.2614,35.1786,36.8928,28.4643,319584886
48,2010-05-07,34.8157,33.6943,35.2243,32.1728,418562326
49,2010-05-10,35.75,36.2843,36.3786,35.5043,245539284
50,2010-05-11,35.9771,36.6457,37.1271,35.7857,212068004
51,2010-05-12,37.035,37.4414,37.59,36.9571,163385299
52,2010-05-13,37.6028,36.9086,37.8571,36.6286,149704075
53,2010-05-14,36.4521,36.26,36.64,35.6428,189368537
54,2010-05-17,36.3857,36.3171,36.5971,35.3871,190413707
55,2010-05-18,36.7114,36.0514,36.9357,35.7514,194856888
56,2010-05-19,35.6428,35.4771,36.1314,34.9786,256089547
57,2010-05-20,34.5543,33.9657,34.8357,33.7443,319497456
58,2010-05-21,33.26,34.6171,34.9286,33.05,305744272
59,2010-05-24,35.3257,35.2514,35.8428,35.18,188078156
60,2010-05-25,34.1928,35.0314,35.2514,33.88,261342838
61,2010-05-26,35.7257,34.8727,36.0186,34.8214,212125404
62,2010-05-27,35.8,36.1928,36.27,35.5871,165270400
63,2010-05-28,37.0554,36.6971,37.0571,36.1928,203645811
64,2010-06-01,37.0986,37.2614,37.9914,36.9943,218455576
65,2010-06-02,37.7914,37.7071,37.8286,37.1907,171594061
66,2010-06-03,37.8828,37.5886,37.9357,37.2014,162341809
67,2010-06-04,36.8871,36.5664,37.4143,36.3757,189045767
68,2010-06-07,36.8986,35.8486,37.0214,35.7928,221253336
69,2010-06-08,36.1771,35.6186,36.2571,35.0928,249904415
70,2010-06-09,35.9243,34.7428,35.9857,34.6414,213040094
71,2010-06-10,34.9771,35.7871,35.8543,34.6,193507918
72,2010-06-11,35.4607,36.2157,36.2657,35.3386,136154451
73,2010-06-14,36.5657,36.3257,37.0214,36.2871,150469315
74,2010-06-15,36.52,37.0986,37.1214,36.5,145862054
75,2010-06-16,37.3,38.1786,38.25,37.2329,195557169
76,2010-06-17,38.6571,38.8386,38.9857,38.5,217872895
77,2010-06-18,38.8928,39.1534,39.2857,38.7743,195928029
78,2010-06-21,39.67,38.5957,39.8586,38.39,193217628
79,2010-06-22,38.88,39.1214,39.4243,38.7857,178776694
80,2010-06-23,39.2257,38.71,39.2371,38.2714,191838418
81,2010-06-24,38.7143,38.4286,39.0278,38.3,178309303
82,2010-06-25,38.58,38.1,38.61,37.9728,136678611
83,2010-06-28,38.1328,38.3286,38.5357,37.7886,146186434
84,2010-06-29,37.7316,36.5957,37.77,36.3286,282782865
85,2010-06-30,36.6728,35.9328,36.8528,35.7157,184538045
86,2010-07-01,36.3286,35.4971,36.4,34.7457,255527517
87,2010-07-02,35.7843,35.2771,35.8471,34.7428,173446612
88,2010-07-06,35.8571,35.5186,36.1143,35.1657,153559326
89,2010-07-07,35.7843,36.9521,36.9671,35.6786,163169979
90,2010-07-08,37.4971,36.87,37.5571,36.4128,184252935
91,2010-07-09,36.6986,37.0886,37.1286,36.4514,108260072
92,2010-07-12,36.9328,36.755,37.4071,36.4086,140474992
93,2010-07-13,36.6171,35.9711,36.6286,35.2043,296797219
94,2010-07-14,35.6257,36.1038,36.5428,35.5714,202950851
95,2010-07-15,35.4614,35.9214,36.71,35.3286,205060442
96,2010-07-16,36.1686,35.7,36.4243,35.4871,259540618
97,2010-07-19,35.6971,35.0828,35.6971,34.2286,255842447
98,2010-07-20,34.7,35.9843,36.1286,34.2871,263591379
99,2010-07-21,37.87,36.32,37.8786,36.2857,295973249
100,2010-07-22,36.8114,37.0034,37.1428,36.4728,161139628
101,2010-07-23,36.7271,37.1343,37.1971,36.6114,133236640
102,2010-07-26,37.1428,37.04,37.1571,36.8157,104188731
103,2010-07-27,37.2671,37.7257,37.8286,37.1857,145188934
104,2010-07-28,37.6671,37.28,37.9986,37.1786,129737759
105,2010-07-29,37.2443,36.8728,37.5214,36.5857,160834008
106,2010-07-30,36.5561,36.75,37.1,36.4143,112029784
107,2010-08-02,37.2057,37.4071,37.5128,37.0886,106583082
108,2010-08-03,37.2871,37.4186,37.6086,37.06,104082541
109,2010-08-04,37.5486,37.5686,37.7543,37.1873,105052042
110,2010-08-05,37.39,37.3857,37.5971,37.2214,72257102
111,2010-08-06,37.1114,37.1558,37.3557,36.8043,111151143
112,2010-08-09,37.3543,37.3928,37.45,37.0814,75552633
113,2010-08-10,37.1214,37.0586,37.2071,36.7928,112874754
114,2010-08-11,36.4857,35.7414,36.5271,35.6871,154454626
115,2010-08-12,35.2414,35.97,36.1571,35.16,133552620
116,2010-08-13,35.95,35.5857,35.9828,35.5843,88560037
117,2010-08-16,35.3686,35.3771,35.7157,35.2314,79420764
118,2010-08-17,35.7257,35.9957,36.3757,35.6,105546662
119,2010-08-18,36.0514,36.1528,36.3814,35.94,84548265
120,2010-08-19,36.12,35.6971,36.2114,35.5257,106533662
121,2010-08-20,35.6271,35.6628,36.2743,35.5714,95681559
122,2010-08-23,35.97,35.1143,36.0,35.0357,103289091
123,2010-08-24,34.6671,34.2757,34.7143,34.0928,150183995
124,2010-08-25,34.0057,34.6986,34.8557,33.8857,148938905
125,2010-08-26,35.0643,34.3257,35.1071,34.3254,116284385
126,2010-08-27,34.5357,34.5171,34.6586,33.6514,136758551
127,2010-08-30,34.3943,34.6428,35.1071,34.3829,95553599
128,2010-08-31,34.55,34.7286,34.9371,34.3357,104966361
129,2010-09-01,35.3528,35.7614,35.9228,35.1828,173960762
130,2010-09-02,35.8946,36.0243,36.0243,35.51,103632581
131,2010-09-03,36.4414,36.9671,36.9686,36.3571,130035609
132,2010-09-07,36.6628,36.83,37.0757,36.6071,85565506
133,2010-09-08,37.1114,37.56,37.77,37.0143,131395709
134,2010-09-09,37.8628,37.5814,38.0743,37.56,109347103
135,2010-09-10,37.5986,37.63,37.7857,37.3428,96849369
136,2010-09-13,37.9743,38.1486,38.3257,37.9657,96883319
137,2010-09-14,38.03,38.2943,38.4528,37.9314,101293530
138,2010-09-15,38.31,38.6028,38.6257,38.2628,106805122
139,2010-09-16,38.6057,39.51,39.5243,38.5,162463819
140,2010-09-17,39.67,39.3386,39.7086,39.0971,157292917
141,2010-09-20,39.44,40.4614,40.54,39.4071,164490809
142,2010-09-21,40.5514,40.5386,41.05,40.3986,166544330
143,2010-09-22,40.3871,41.1071,41.14,40.3443,146168794
144,2010-09-23,40.9043,41.2743,41.8228,40.8571,196189899
145,2010-09-24,41.7286,41.76,41.9328,41.5071,161761929
146,2010-09-27,41.9964,41.5948,42.1043,41.5728,120369236
147,2010-09-28,41.6814,40.98,41.6814,39.2857,258538988
148,2010-09-29,41.0328,41.0528,41.4014,40.8571,117244505
149,2010-09-30,41.2857,40.5357,41.4286,40.1786,167988710
150,2010-10-01,40.878,40.36,40.94,40.1928,112000034
151,2010-10-04,40.2286,39.8057,40.4143,39.6814,108637023
152,2010-10-05,40.2857,41.2771,41.35,40.2601,124901667
153,2010-10-06,41.37,41.3128,41.7128,40.7514,167206320
154,2010-10-07,41.4766,41.3171,41.4971,40.9871,101859481
155,2010-10-08,41.6733,42.01,42.0714,41.4286,164183439
156,2010-10-11,42.1057,42.1943,42.4628,42.0857,106676392
157,2010-10-12,42.2014,42.6486,42.7857,41.7843,139112862
158,2010-10-13,42.8857,42.8771,43.1371,42.8286,155265647
159,2010-10-14,43.0986,43.1871,43.21,42.9143,108314742
160,2010-10-15,43.92,44.9628,45.0,43.5586,229189449
161,2010-10-18,45.4957,45.4286,45.5714,44.8986,267603430
162,2010-10-19,43.3428,44.2128,44.8243,42.86,307005952
163,2010-10-20,44.1428,44.3614,44.8928,43.8386,179414674
164,2010-10-21,44.6228,44.2171,44.9628,43.8286,136781721
165,2010-10-22,44.1528,43.9243,44.2914,43.7571,92488648
166,2010-10-25,44.1557,44.12,44.5143,44.0628,96214749
167,2010-10-26,43.8386,44.0071,44.2486,43.6643,97175079
168,2010-10-27,43.95,43.9757,44.2714,43.6571,97963209
169,2010-10-28,43.9928,43.6057,44.0,42.9857,137111911
170,2010-10-29,43.4614,42.9971,43.6971,42.9814,106459252
171,2010-11-01,43.1743,43.4543,43.6571,43.1714,105463082
172,2010-11-02,43.8571,44.1943,44.3128,43.8571,107689502
173,2010-11-03,44.4814,44.6857,44.6971,44.0757,126496828
174,2010-11-04,45.0643,45.4671,45.74,45.0043,159613418
175,2010-11-05,45.4271,45.3043,45.6528,45.25,90104657
176,2010-11-08,45.3143,45.5171,45.6814,45.2514,69985111
177,2010-11-09,45.8643,45.1543,45.9,44.9286,95514329
178,2010-11-10,45.2343,45.4328,45.5386,44.7928,95152429
179,2010-11-11,45.0,45.2364,45.4857,44.8928,90179837
180,2010-11-12,45.1428,44.0043,45.2143,43.3757,198704230
181,2010-11-15,44.0657,43.8621,44.3628,43.7528,100475160
182,2010-11-16,43.6743,43.0843,43.9428,42.76,164041549
183,2010-11-17,43.0286,42.9286,43.4271,42.5371,119653066
184,2010-11-18,43.6,44.0614,44.2386,43.5271,123123667
185,2010-11-19,43.9957,43.8186,44.0571,43.6057,96113949
186,2010-11-22,43.8114,44.7657,44.7657,43.6957,97869619
187,2010-11-23,44.35,44.1043,44.5357,43.7943,129372219
188,2010-11-24,44.5714,44.9707,45.0571,44.5357,103401091
189,2010-11-26,44.82,45.0,45.3857,44.7057,59436255
190,2010-11-29,45.0714,45.2671,45.3543,44.4828,110489713
191,2010-11-30,44.7914,44.45,44.9086,44.41,125157098
192,2010-12-01,45.0386,45.2,45.3928,45.0,114829084
193,2010-12-02,45.3614,45.45,45.5714,44.9843,115699815
194,2010-12-03,45.2871,45.3486,45.5214,45.1914,85503906
195,2010-12-06,45.52,45.7357,46.0471,45.4886,111165143
196,2010-12-07,46.2571,45.4586,46.2843,45.4457,97437439
197,2010-12-08,45.6614,45.8586,45.86,45.3014,80165284
198,2010-12-09,46.0188,45.6796,46.0714,45.5743,73378782
199,2010-12-10,45.6643,45.7943,45.8643,45.5143,65576594
200,2010-12-13,46.3386,45.9528,46.4371,45.8571,109673093
201,2010-12-14,45.9614,45.7557,46.0771,45.5714,87718986
202,2010-12-15,45.7143,45.7657,46.1428,45.5986,103780771
203,2010-12-16,45.87,45.8928,46.0871,45.7286,80244454
204,2010-12-17,45.9471,45.8014,45.97,45.7471,96587849
205,2010-12-20,45.9428,46.03,46.1786,45.4614,96006079
206,2010-12-21,46.1428,46.315,46.3414,46.0071,63928793
207,2010-12-22,46.3371,46.4514,46.5314,46.2214,66449697
208,2010-12-23,46.4286,46.2286,46.45,46.1671,55731469
209,2010-12-27,46.1217,46.3828,46.4914,45.9314,62274056
210,2010-12-28,46.5586,46.4957,46.6657,46.4371,43898371
211,2010-12-29,46.6028,46.47,46.6357,46.4428,40775656
212,2010-12-30,46.4971,46.2371,46.5014,46.15,39354103
213,2010-12-31,46.1357,46.08,46.2114,45.9014,48344906
214,2011-01-03,46.52,47.0814,47.18,46.4052,110964733
215,2011-01-04,47.4914,47.3271,47.5,46.8786,77212123
216,2011-01-05,47.0786,47.7143,47.7628,47.0714,63310259
217,2011-01-06,47.817,47.6757,47.8928,47.5571,74957912
218,2011-01-07,47.7128,48.0171,48.05,47.4143,77371653
219,2011-01-10,48.4043,48.9221,49.0328,48.1671,111939414
220,2011-01-11,49.2686,48.8057,49.28,48.4957,110618303
221,2011-01-12,49.0357,49.2028,49.2043,48.8571,75491803
222,2011-01-13,49.3086,49.3828,49.52,49.1214,74023552
223,2011-01-14,49.4128,49.7828,49.7828,49.2057,76865693
224,2011-01-18,47.0743,48.6643,49.2518,46.5714,462442329
225,2011-01-19,49.7643,48.4057,49.8,48.1257,283119845
226,2011-01-20,48.0614,47.5257,48.3286,47.16,190898107
227,2011-01-21,47.6814,46.6743,47.84,46.6614,188198066
228,2011-01-24,46.6957,48.2071,48.2071,46.6743,143251473
229,2011-01-25,48.0471,48.7714,48.7771,47.7957,135998561
230,2011-01-26,48.9943,49.1214,49.3714,48.7857,126542748
231,2011-01-27,49.1114,49.03,49.2418,48.9758,71129331
232,2011-01-28,49.1671,48.0143,49.2,47.6468,147746454
233,2011-01-31,47.9714,48.4743,48.5771,47.7571,94202598
234,2011-02-01,48.7571,49.29,49.3786,48.7114,106341512
235,2011-02-02,49.2071,49.1886,49.3214,49.0786,64653258
236,2011-02-03,49.1143,49.0628,49.1771,48.3643,98290879
237,2011-02-04,49.0914,49.5,49.5286,49.0728,80346164
238,2011-02-07,49.6986,50.2686,50.4643,49.6628,121039906
239,2011-02-08,50.5257,50.7428,50.7886,50.3071,94755248
240,2011-02-09,50.7414,51.1657,51.2857,50.6957,120447916
241,2011-02-10,51.0557,50.6486,51.4286,49.7143,231786170
242,2011-02-11,50.6789,50.9786,51.1143,50.5057,91775628
243,2011-02-14,50.97,51.3114,51.3543,50.9586,77500243
244,2011-02-15,51.3128,51.4143,51.4243,51.0786,70731871
245,2011-02-16,51.5428,51.8757,52.1286,51.5,118767216
246,2011-02-17,51.0357,51.1857,51.4671,50.9314,132320200
247,2011-02-18,51.2443,50.08,51.3571,49.9314,203326891
248,2011-02-22,48.8786,48.3728,49.3428,48.2457,217592825
249,2011-02-23,48.3957,48.9457,49.2343,48.3728,167580960
250,2011-02-24,49.1457,48.9828,49.3071,48.3386,124804997
251,2011-02-25,49.3228,49.7371,49.7757,49.2571,94401188
252,2011-02-28,50.1771,50.4586,50.7214,50.16,100497210
253,2011-03-01,50.7814,49.9014,50.8171,49.6687,113527924
254,2011-03-02,49.9943,50.3028,50.6214,49.7714,150412615
255,2011-03-03,51.0271,51.3657,51.3986,50.8457,124643787
256,2011-03-04,51.4386,51.4286,51.47,51.1071,113155454
257,2011-03-07,51.6286,50.7657,51.6671,50.1871,136302361
258,2011-03-08,50.7014,50.8228,51.0571,50.3214,88957077
259,2011-03-09,50.67,50.3528,50.68,50.0857,113249954
260,2011-03-10,49.8743,49.5243,49.9671,49.2714,126724608
261,2011-03-11,49.3328,50.2843,50.3314,49.2857,117542215
262,2011-03-14,50.4543,50.5086,50.9263,50.1871,108959443
263,2011-03-15,48.8714,49.3471,49.6914,48.5857,179747944
